Step,Agent,Action
1,Agent1,failed to act
1,Agent2,moved down (energy: 19)
1,Agent3,collected green
1,Agent4,collected red
1,Agent5,moved left (energy: 19)
2,Agent1,failed to act
2,Agent2,failed to act
2,Agent3,moved up (energy: 18)
2,Agent4,moved up (energy: 18)
2,Agent5,moved left (energy: 18)
3,Agent1,did nothing
3,Agent2,did nothing
3,Agent3,moved up (energy: 17)
3,Agent4,moved up (energy: 17)
3,Agent5,did nothing
4,Agent1,moved down (energy: 16)
4,Agent2,moved right (energy: 16)
4,Agent3,moved up (energy: 16)
4,Agent4,moved up (energy: 16)
4,Agent5,did nothing
5,Agent1,did nothing
5,Agent2,did nothing
5,Agent3,moved up (energy: 15)
5,Agent4,did nothing
5,Agent5,did nothing
6,Agent1,moved up (energy: 14)
6,Agent2,moved up (energy: 14)
6,Agent3,moved up (energy: 14)
6,Agent4,did nothing
6,Agent5,moved up (energy: 14)
7,Agent1,moved down (energy: 13)
7,Agent2,ate green (+30 energy)
7,Agent3,did nothing
7,Agent4,moved up (energy: 13)
7,Agent5,moved up (energy: 13)
8,Agent1,did nothing
8,Agent2,did nothing
8,Agent3,ate red (+30 energy)
8,Agent4,moved up (energy: 12)
8,Agent5,did nothing
9,Agent1,did nothing
9,Agent2,did nothing
9,Agent3,failed to act
9,Agent4,did nothing
9,Agent5,ate red (+0 energy)
10,Agent1,moved down (energy: 10)
10,Agent2,moved down (energy: 40)
10,Agent3,moved down (energy: 40)
10,Agent4,ate green (+25 energy)
10,Agent5,moved up (energy: 10)
11,Agent1,did nothing
11,Agent2,moved up (energy: 39)
11,Agent3,did nothing
11,Agent4,moved left (energy: 34)
11,Agent5,moved up (energy: 9)
12,Agent1,moved down (energy: 8)
12,Agent2,collected green
12,Agent3,moved down (energy: 38)
12,Agent4,moved left (energy: 33)
12,Agent5,did nothing
13,Agent1,did nothing
13,Agent2,ate green (+30 energy)
13,Agent3,moved down (energy: 37)
13,Agent4,did nothing
13,Agent5,did nothing
14,Agent1,did nothing
14,Agent2,moved up (energy: 66)
14,Agent3,did nothing
14,Agent4,moved left (energy: 31)
14,Agent5,moved up (energy: 6)
15,Agent1,did nothing
15,Agent2,moved down (energy: 65)
15,Agent3,moved down (energy: 35)
