Step,Agent,Energy
1,Agent1,69
1,Agent2,19
1,Agent3,19
1,Agent4,19
1,Agent5,69
2,Agent1,68
2,Agent2,48
2,Agent3,48
2,Agent4,43
2,Agent5,68
3,Agent1,67
3,Agent2,47
3,Agent3,67
3,Agent4,42
3,Agent5,67
4,Agent1,66
4,Agent2,46
4,Agent3,66
4,Agent4,41
4,Agent5,116
5,Agent1,65
5,Agent2,75
5,Agent3,65
5,Agent4,65
5,Agent5,115
6,Agent1,64
6,Agent2,74
6,Agent3,64
6,Agent4,64
6,Agent5,114
7,Agent1,113
7,Agent2,73
7,Agent3,63
7,Agent4,88
7,Agent5,113
8,Agent1,112
8,Agent2,72
8,Agent3,92
8,Agent4,87
8,Agent5,162
9,Agent1,111
9,Agent2,71
9,Agent3,91
9,Agent4,86
9,Agent5,161
10,Agent1,110
10,Agent2,90
10,Agent3,90
10,Agent4,85
10,Agent5,160
11,Agent1,109
11,Agent2,89
11,Agent3,109
11,Agent4,84
11,Agent5,159
12,Agent1,108
12,Agent2,88
12,Agent3,108
12,Agent4,108
12,Agent5,158
13,Agent1,157
13,Agent2,87
13,Agent3,107
13,Agent4,107
13,Agent5,157
14,Agent1,156
14,Agent2,86
14,Agent3,106
14,Agent4,106
14,Agent5,156
15,Agent1,155
15,Agent2,115
15,Agent3,105
15,Agent4,130
15,Agent5,205
16,Agent1,154
16,Agent2,114
16,Agent3,134
16,Agent4,129
16,Agent5,204
17,Agent1,153
17,Agent2,133
17,Agent3,133
17,Agent4,128
17,Agent5,203
18,Agent1,152
18,Agent2,132
18,Agent3,132
18,Agent4,127
18,Agent5,202
19,Agent1,151
19,Agent2,131
19,Agent3,151
19,Agent4,151
19,Agent5,201
20,Agent1,150
20,Agent2,130
20,Agent3,150
20,Agent4,150
20,Agent5,200
21,Agent1,149
21,Agent2,129
21,Agent3,149
21,Agent4,149
21,Agent5,199
22,Agent1,148
22,Agent2,148
22,Agent3,178
22,Agent4,148
22,Agent5,198
23,Agent1,147
23,Agent2,147
23,Agent3,177
23,Agent4,172
23,Agent5,197
24,Agent1,146
24,Agent2,146
24,Agent3,206
24,Agent4,171
24,Agent5,196
25,Agent1,145
25,Agent2,145
25,Agent3,205
25,Agent4,170
25,Agent5,195
26,Agent1,144
26,Agent2,174
26,Agent3,204
26,Agent4,169
26,Agent5,194
27,Agent1,143
27,Agent2,173
27,Agent3,233
27,Agent4,168
27,Agent5,193
28,Agent1,142
28,Agent2,172
28,Agent3,232
28,Agent4,192
28,Agent5,192
29,Agent1,141
29,Agent2,191
29,Agent3,231
29,Agent4,191
29,Agent5,191
30,Agent1,140
30,Agent2,190
30,Agent3,250
30,Agent4,190
30,Agent5,190
31,Agent1,139
31,Agent2,189
31,Agent3,249
31,Agent4,189
31,Agent5,189
32,Agent1,138
32,Agent2,188
32,Agent3,248
32,Agent4,213
32,Agent5,188
33,Agent1,137
33,Agent2,187
33,Agent3,247
33,Agent4,212
33,Agent5,187
34,Agent1,136
34,Agent2,186
34,Agent3,266
34,Agent4,211
34,Agent5,186
35,Agent1,135
35,Agent2,185
35,Agent3,265
35,Agent4,210
35,Agent5,185
36,Agent1,134
36,Agent2,184
36,Agent3,264
36,Agent4,209
36,Agent5,184
37,Agent1,133
37,Agent2,183
37,Agent3,263
37,Agent4,233
37,Agent5,183
38,Agent1,132
38,Agent2,202
38,Agent3,262
38,Agent4,232
38,Agent5,182
39,Agent1,131
39,Agent2,201
39,Agent3,261
